,,,KEY COVID COMPOUNDING RISKS,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTRY,ISO3,COVID Risk,Seasonal Risk,Food Insecurity,Conflict ,Fiscal,Economic and Financial,Fragility,NatCat Risk,Institutions,FISCAL,FRAGILITY,Average Risk Score,Count Flags
(a-z),(a-z),,,,,,,,,,,,,
Philippines,PHL,6.5,1.9,0.0,7.0,0.0,4.3,5.2,8.4,4.7,3.2,3.4,3.9,4.0
Poland,POL,5.5,#N/A,0.0,0.0,0.0,2.0,1.4,2.2,4.2,2.5,1.4,1.4,0.0
Portugal,PRT,4.9,#N/A,0.0,0.0,0.0,4.0,1.1,3.3,2.9,3.0,1.2,1.6,1.0
Qatar,QAT,5.8,#N/A,0.0,0.0,0.0,2.3,1.0,1.4,4.3,2.7,1.4,1.3,0.0
Romania,ROU,6.2,#N/A,0.0,0.0,0.0,3.0,1.7,4.1,4.7,3.1,1.6,1.9,0.0
Russian Federation,RUS,5.8,#N/A,0.0,0.0,0.0,2.3,2.3,5.5,6.2,2.7,1.6,2.3,2.0
Rwanda,RWA,7.4,0.0,2.0,0.0,0.0,4.0,6.1,3.6,3.9,2.9,2.6,2.5,3.0
Saint Kitts and Nevis,KNA,7.0,5.6,0.0,0.0,0.0,5.0,1.5,2.8,4.0,4.4,2.4,2.4,3.0
Saint Lucia,LCA,6.8,2.6,0.0,0.0,0.0,7.0,2.2,2.6,4.9,4.1,1.9,2.4,2.0
Saint Vincent and the Grenadines,VCT,7.0,2.2,0.0,0.0,7.0,4.7,1.7,2.6,4.4,5.2,3.0,2.8,2.0
Samoa,WSM,7.1,#N/A,0.0,0.0,7.0,4.5,3.3,3.5,4.2,6.2,3.5,3.2,2.0
Sao Tome and Principe,STP,8.2,0.0,0.0,0.0,10.0,5.0,3.5,1.3,5.9,5.8,3.6,3.2,3.0
Saudi Arabia,SAU,5.6,#N/A,0.0,0.0,0.0,2.5,1.2,2.9,4.6,2.7,1.4,1.6,0.0
Senegal,SEN,7.8,1.6,2.0,0.0,0.0,4.3,5.1,4.8,5.1,3.4,2.8,2.9,4.0
Serbia,SRB,5.6,#N/A,0.0,0.0,0.0,3.0,2.3,4.4,5.2,2.9,1.6,2.1,1.0
Seychelles,SYC,7.1,0.0,0.0,0.0,0.0,6.0,1.8,2.8,4.0,3.3,1.5,1.8,2.0
Sierra Leone,SLE,7.8,0.0,2.0,0.0,7.0,2.7,5.4,3.9,5.3,4.4,3.7,3.3,3.0
Singapore,SGP,4.8,0.0,0.0,0.0,0.0,3.0,0.3,0.9,1.1,1.9,0.8,0.7,0.0
Slovakia,SVK,5.7,#N/A,0.0,0.0,0.0,3.0,0.9,2.9,3.9,2.9,1.3,1.5,0.0
Slovenia,SVN,4.5,#N/A,0.0,0.0,0.0,3.3,0.6,3.5,2.2,2.6,1.0,1.4,1.0
Solomon Islands,SLB,8.0,#N/A,0.0,0.0,0.0,4.3,4.0,5.8,6.6,4.1,2.4,3.0,4.0
Somalia,SOM,8.6,3.8,6.0,10.0,10.0,10.0,9.1,6.9,9.3,8.1,7.9,8.1,7.0
South Africa,ZAF,6.0,0.0,0.0,0.4,0.0,3.3,4.7,5.0,4.5,2.3,1.8,2.2,1.0
South Sudan,SSD,8.3,1.8,8.0,8.0,10.0,0.0,8.5,4.0,9.4,5.0,7.4,6.2,5.0
Spain,ESP,4.4,#N/A,0.0,0.0,0.0,4.0,2.1,4.1,2.8,2.8,1.3,1.9,1.0
Sri Lanka,LKA,7.0,#N/A,0.0,0.0,0.0,4.0,3.1,5.2,4.8,3.7,2.0,2.4,3.0
Sudan,SDN,8.0,#N/A,8.0,8.0,10.0,3.0,7.2,4.4,6.6,7.0,8.2,6.7,5.0
Suriname,SUR,6.7,#N/A,0.0,0.0,0.0,1.3,2.9,3.9,6.0,2.7,1.9,2.0,1.0
Sweden,SWE,3.9,#N/A,0.0,0.0,0.0,3.7,3.1,1.2,2.0,2.5,1.4,1.4,1.0
Switzerland,CHE,3.7,#N/A,0.0,0.0,0.0,2.0,2.4,2.2,1.1,1.9,1.2,1.1,0.0
Syria,SYR,8.4,#N/A,0.0,10.0,0.0,4.0,7.8,5.6,6.6,4.1,5.2,4.9,6.0
Tajikistan,TJK,7.0,#N/A,4.0,0.0,7.0,3.4,3.5,5.8,6.0,5.8,4.3,4.2,3.0
Tanzania,TZA,7.3,4.1,2.0,0.0,0.0,4.0,5.8,5.0,5.0,3.9,3.2,3.2,4.0
Thailand,THA,4.9,0.3,0.0,0.0,0.0,4.0,3.2,6.2,5.1,2.3,1.4,2.4,3.0
Timor-Leste,TLS,7.6,1.4,0.0,0.0,0.0,2.5,4.1,4.5,6.5,2.9,2.2,2.4,2.0
Togo,TGO,8.2,0.6,0.0,0.0,0.0,4.5,5.2,2.9,8.2,3.3,2.3,2.7,4.0
Tonga,TON,7.1,#N/A,0.0,0.0,7.0,5.0,4.6,5.2,5.3,6.4,3.7,3.9,4.0
Trinidad and Tobago,TTO,5.9,0.7,0.0,0.0,0.0,3.0,2.8,3.0,4.9,2.4,1.6,1.8,0.0
Tunisia,TUN,7.0,#N/A,0.0,0.0,0.0,4.0,1.7,4.6,6.0,3.7,1.7,2.3,2.0
Turkey,TUR,6.0,#N/A,0.0,9.0,0.0,3.3,5.1,6.2,3.9,3.1,4.0,3.9,4.0
Turkmenistan,TKM,7.3,#N/A,0.0,0.0,0.0,0.0,1.1,3.7,7.6,2.4,1.7,1.8,2.0
